id;brand;legal;eik;eik_url;founded;city;capital;capital_text;owner;group;is_group_head;parent_brand_id;hide_from_list;source_usa;source_ca;source_kr;source_jp;source_eu;web;phone;phone_2;email;social_facebook;social_instagram;social_viber;social_youtube;social_tiktok;social_linkedin;social_mobile_bg;social_cars_bg;verified;is_new;blurb;last_checked;verification_notes
north-auto;North Auto;НОРТ АУТО БЪЛГАРИЯ ЕООД;202092526;https://papagal.bg/eik/202092526/2d83;2012-05-31;София;10225;10 225,00 €;ЦВЕТОМИР ПЛАМЕНОВ МИТЕВ (100%, и управител);North Auto;yes;;;yes;yes;;;;https://north-auto.com/;359 888 751 247;;sales@north-auto.com;https://www.facebook.com/northautobg/;;https://invite.viber.com/?g2=AQAlqX4R8PG97FMc1ivQP9n3pnG0TGb9xLU1K%2Fun5T44116SHXj35LXzUaXWdPAF&lang=en;;;;;;;;Първоначално регистрирана като 'РАЙТ КОЛ' до преименуването през август 2023 г. Най-вероятно операторът на north-auto.com. Самият сайт декларира свързани марки: American Dreamcars, Fast Lane America, Urban Motors.;2026-05-24;Registry confirmed via agent-browser 2026-05-24. Legal/founded/city confirmed. Capital converted from 20 000 лв. to 10 225 €. Owner filled: ЦВЕТОМИР ПЛАМЕНОВ МИТЕВ (100%, и управител).
american-dreamcars;American Dreamcars;(търговско име — North Auto group);;;;София;;;;North Auto;;north-auto;;yes;yes;;;;https://americandreamcars.bg/;;;;https://www.facebook.com/americadreamcars/;;;;;;;;;;Декларирана от North Auto като свързана марка. Няма самостоятелно юридическо лице в Търговския регистър.;2026-05-24;"Sub-brand of north-auto; no own registry entry. Site americandreamcars.bg unreachable (ECONNREFUSED) 2026-05-24."
fast-lane-america;Fast Lane America;(търговско име — North Auto group);;;;София;;;;North Auto;;north-auto;;yes;yes;;;;https://fastlaneamerica.com/;;;;;;;;;;https://fastlaneamerica.mobile.bg/;;;;Слоган: 'Здрави коли на дилърски цени от Америка'. Декларирана от North Auto като свързана марка.;2026-05-24;"Sub-brand of north-auto; no own registry entry. Site fastlaneamerica.com has TLS cert error 2026-05-24; mobile.bg listing active."
urban-motors;Urban Motors;(търговско име — North Auto group);;;;София;;;;North Auto;;north-auto;;yes;yes;;;;;359 883 391 112;;;https://www.facebook.com/urban.motorsbg/;https://www.instagram.com/urban.motors/;;;;;;;;;Декларирана от North Auto като свързана марка. Да не се бърка с 'Urban Motors Denver' в САЩ или 'Urban Motors Collection' в Ню Джърси.;2026-05-24;"Sub-brand of north-auto; no own registry entry. Site urbanmotors.bg unreachable (ECONNREFUSED) 2026-05-24."
wincars-main;WINCARS;ВИНКАРС ЕООД;207634475;https://papagal.bg/eik/207634475/afe7;2023-12-14;София;2;2,00 €;Иван Иванович Ганчев (100%, и управител);WINCARS;yes;;;yes;yes;yes;;;https://wincars.bg/;359 889 333 631;;wincarsbulgaria@gmail.com;https://www.facebook.com/wincars.bg;https://www.instagram.com/wincars.bg;https://invite.viber.com/?g2=AQAp47Wvj2a9xlEchEkAajcjIsGzqaZQhMzR94s0dFs4o8UItSznkKGwjm3MZY%2BR&fbclid=IwY2xjawSAPx5leHRuA2FlbQIxMABicmlkETBLY1NtN1JGWG5Cc3ZHZDhHc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHqdKApl-FedNKjP2RvyQ4e5cL0Mx6Fm_MnbYtCib32aG6snzopO0vScDkg9U_aem_l_YKoyxpq8766QvIt8q4sg&lang=en;https://www.youtube.com/@WINCARS.BULGARIA;https://www.tiktok.com/@wincars.bg;;https://m.mobile.bg/dealers/wincars-central;https://www.cars.bg/company/wincarsplovdiv;;;Сграда Margel, София, Околовръстен път 155, ет. 2. Пет свързани фирми ВИНКАРС/УИНКАРС — нетипично сложна структура за тази индустрия. 5 отделни Mobile.bg витрини за различни локации.;2026-05-24;Registry confirmed via agent-browser 2026-05-24. Founded/city confirmed. Capital converted from 5 лв. to 2 €. Owner filled: Иван Иванович Ганчев (100%, и управител). Site OK: phone/email/socials confirmed. Telegram bot also found (not stored).
wincars-plus;WINCARS+;УИНКАРС ПЛЮС ЕООД;207634518;https://papagal.bg/eik/207634518/9fb8;2023-12-14;София;2;2,00 €;ИВАН ИВАНОВИЧ ГАНЧЕВ (100%, и управител);WINCARS;;wincars-main;yes;yes;yes;;;;;;;;;;;;;;;;;;Свързано лице, регистрирано същия ден като ВИНКАРС ЕООД. Споделя сайта на главната фирма.;2026-05-24;"Registry confirmed via agent-browser 2026-05-24. Founded/city confirmed. Capital converted from 5 лв. to 2 €. Owner filled: ИВАН ИВАНОВИЧ ГАНЧЕВ (100%, и управител). No own site; shares wincars.bg. Existing values retained."
vincars-companion;WINCARS Co.;ВИНКАРС КОМПАНИ ЕООД;208059064;https://papagal.bg/eik/208059064/2cb0;2024-11-13;София;2;2,00 €;ИВАН ИВАНОВИЧ ГАНЧЕВ (100%, и управител);WINCARS;;wincars-main;yes;yes;yes;;;;;;;;;;;;;;;;;;Втора вълна на регистрации в групата WINCARS.;2026-05-24;Registry confirmed via agent-browser 2026-05-24. Founded/city confirmed. Capital converted from 5 лв. to 2 €. Owner filled: ИВАН ИВАНОВИЧ ГАНЧЕВ (100%, и управител). No own site. Existing values retained.
wincars-plus-companion;WINCARS+ Co.;УИНКАРС ПЛЮС КОМПАНИ ЕООД;208059159;https://papagal.bg/eik/208059159/9689;2024-11-13;София;2;2,00 €;ИВАН ИВАНОВИЧ ГАНЧЕВ (100%, и управител);WINCARS;;wincars-main;yes;yes;yes;;;;;;;;;;;;;;;;;;Свързано лице, регистрирано същия ден като ВИНКАРС КОМПАНИ ЕООД.;2026-05-24;Registry confirmed via agent-browser 2026-05-24. Founded/city confirmed. Capital converted from 5 лв. to 2 €. Owner filled: ИВАН ИВАНОВИЧ ГАНЧЕВ (100%, и управител). No own site. Existing values retained.
win-cars;WIN CARS;УИН КАРС ЕООД;207285529;https://papagal.bg/eik/207285529/dee3;2023-03-01;София;5;5,00 €;ИВАН ИВАНОВИЧ ГАНЧЕВ (100%, и управител);WINCARS;;wincars-main;yes;yes;yes;;;;;;;;;;;;;;;;;;Възможно е да е първоначалната / 'стара' фирма на групата WINCARS.;2026-05-24;Registry confirmed via agent-browser 2026-05-24. Founded filled: 2023-03-01. City confirmed. Capital converted from 10 лв. to 5 €. Owner filled: ИВАН ИВАНОВИЧ ГАНЧЕВ (100%, и управител). No own site. Existing values retained.
mak-auto;MAK AUTO;(юридическото лице не е идентифицирано еднозначно);;;;София;;;;MAK GROUP;;;;yes;yes;;;;https://makauto.eu/;359 877 400 520;;sales@makauto.eu;https://www.facebook.com/profile.php?id=100088853903957;https://www.instagram.com/makauto.eu/;https://invite.viber.com/?g2=AQAKMqhHlO837VKBMYSm5Q2dvyUyTArlamXok4KLF%2FQHSgT42EhLyxbjExhriKhI;https://www.youtube.com/@Makautoeu;;;;;;;На сайта се представя като 'MAK GROUP'. Оперира свързана аукционна платформа MAKBID.EU. Финансов партньор: TBI Bank. Внимание: МАК АУТО РЕНТ ЕООД (ЕИК 201462816) е различен бизнес (отдаване под наем).;2026-05-24;"No EIK in CSV. Site OK: phone/email confirmed; added Facebook and YouTube found on site."
